Title,Latitude,Longitude,Region,Country,Zone Type,Zone Specialization,Management Type,Management Company,SEZ Framework,Nearest Airport,Nearest Airport Distance (km),airportlat,airportlong,Capital City,Capital City Distance (km),capitallat,capitallong,Nearest Port,Nearest Port Distance (km),Note,URL,Populous City,Populous City Distance (km),portlat,portlong,Size (Hectares),size_class,Source,Status,ID,Created,Created By,Modified,Modified By
"Bình Xuyên Ii Industrial Estate","21.2766539","105.6479245","Southeast Asia","Vietnam","Export Processing Zone",,"Public-Private Partnership","Thinh Vinh Phuc Construction Investment Co., Ltd","Decree No.82/2018/ND-CP on Management of Industrial Parks and Economic Zones, Decree No 218/2013/ND-CP ","Noi Bai International Airport","17.6","21.2212009","105.8069992","Hanoi","34.3","21.0333","105.85","Hanoi","35.4",,"https://www.tdc-vietnam.com/factory/area/detail/224/","Vinh Yên","5.7","21.02933","105.8621","485.1","5",,"Active","5129","4/24/2021 7:05","fergal hourigan","11/19/2021 9:06","fergal hourigan"
"Bình Xuyên Industrial Estate","21.342911","105.678902","Southeast Asia","Vietnam","Export Processing Zone",,"Public-Private Partnership","Thinh Vinh Phuc Construction Investment Co., Ltd","Decree No.82/2018/ND-CP on Management of Industrial Parks and Economic Zones, Decree No 218/2013/ND-CP ","Noi Bai International Airport","19","21.2212009","105.8069992","Hanoi","38.8","21.0333","105.85","Hanoi","39.8",,"http://binhxuyenip.com/binh-xuyen-industrial-park-gt-en15.html","Vinh Yên","8.6","21.02933","105.8621","289.8","5",,"Active","5130","4/24/2021 7:05","fergal hourigan","11/19/2021 9:06","fergal hourigan"
"Bồng Sơn Industrial Zone","14.4261897","108.9993117","Southeast Asia","Vietnam","Export Processing Zone",,"Public","Binh Dinh Economic Zone Administration","Decree No.82/2018/ND-CP on Management of Industrial Parks and Economic Zones, Decree No 218/2013/ND-CP ","Phu Cat Airport","52.7","13.9549999","109.0419998","Hanoi","807.7","21.0333","105.85","Thi Nai","77",,"http://kkt.kktbinhdinh.vn/en/3012_industrial-zones.aspx%23.VKDRUsgIg","Quy Nhon","74.5","13.77764","109.24708","120","5",,"Under Development","5131","4/24/2021 7:05","fergal hourigan","11/19/2021 9:06","fergal hourigan"
"Đồng Văn Ii Industrial Estate","20.6629131","105.9177499","Southeast Asia","Vietnam","Export Processing Zone",,"Public-Private Partnership","Ha Nam Development JSC","Decree No.82/2018/ND-CP on Management of Industrial Parks and Economic Zones, Decree No 218/2013/ND-CP ","Noi Bai International Airport","63.2","21.2212009","105.8069992","Hanoi","41.8","21.0333","105.85","Hanoi","41.2",,"http://invest.hanam.gov.vn/en-us/Details/dong-van-ii-industrial-zone/70/64/1","Phu Ly","13.1","21.02933","105.8621","322","5",,"Active","5132","4/24/2021 7:05","fergal hourigan","11/19/2021 9:06","fergal hourigan"
"Hoàng Đồng Industrial Estate","20.6202467","105.9062274","Southeast Asia","Vietnam","Export Processing Zone",,"Public","Management In Hung Yen Industrail Park","Decree No.82/2018/ND-CP on Management of Industrial Parks and Economic Zones, Decree No 218/2013/ND-CP ","Noi Bai International Airport","67.7","21.2212009","105.8069992","Hanoi","46.4","21.0333","105.85","Hanoi","45.8",,"https://www.tdc-vietnam.com/factory/area/detail/194/","Phu Ly","8.4","21.02933","105.8621","100","4",,"Active","5133","4/24/2021 7:05","fergal hourigan","11/19/2021 9:06","fergal hourigan"
"Cát Trinh Industrial Zone","14.0109655","109.0692327","Southeast Asia","Vietnam","Export Processing Zone",,"Public","Binh Dinh Economic Zone Administration","Document No. 1975/TTg-KTN, Decree No.82/2018/ND-CP","Phu Cat Airport","6.9","13.9549999","109.0419998","Hanoi","853.1","21.0333","105.85","Thi Nai","32.3",,"http://kkt.kktbinhdinh.vn/en/3020_cat-trinh-industrial-zone.aspx%23.VKDO0sgIg","Quy Nhon","28.4","13.77764","109.24708","368","5",,"Under Development","5134","4/24/2021 7:05","fergal hourigan","11/19/2021 9:06","fergal hourigan"
"Cầu Nghìn Industrial Zone","20.6580524","106.3221352","Southeast Asia","Vietnam","Export Processing Zone",,"Public-Private Partnership","IDICO-JSC","Decree No.82/2018/ND-CP on Management of Industrial Parks and Economic Zones, Decree No 218/2013/ND-CP ","Cat Bi International Airport","45.6","20.8194008","106.7249985","Hanoi","64.5","21.0333","105.85","Haiphong","44.9",,"http://investvietnam.gov.vn/en/industrial-zones.pd/cau-nghin-industrial-park.html","Thái Bình","23.2","20.86833","106.6905","211.7","5",,"Active","5135","4/24/2021 7:05","fergal hourigan","11/19/2021 9:06","fergal hourigan"
"Pho Phong Industrial Zone","14.8595534","108.8695159","Southeast Asia","Vietnam","Diversified Zone",,"Public","Quang Ngai Industrial Zone Authority","Decree No.82/2018/ND-CP on Management of Industrial Parks and Economic Zones, Decree No 218/2013/ND-CP ","Kontum Airport","107.9","14.3500004","108.0169983","Hanoi","757.9","21.0333","105.85","Quang Ngai","43.4",,"http://viipip.com/ipen/?ipcode=183","Quang Nga","32.7","15.24313","108.9429","143.7","5",,"Under Development","5136","4/24/2021 7:05","fergal hourigan","11/19/2021 9:06","fergal hourigan"
"Đại An Industrial Estate","20.9330395","106.2661771","Southeast Asia","Vietnam","Export Processing Zone",,"Public-Private Partnership","Dai An Joint Stock Company, ","Decree No.82/2018/ND-CP on Management of Industrial Parks and Economic Zones, Decree No 218/2013/ND-CP ","Cat Bi International Airport","49.4","20.8194008","106.7249985","Hanoi","44.7","21.0333","105.85","Hanoi","43.3",,"https://daianvietnam.com/dai-an-industrial-zone.html?lang=en","Hải Dương","6.8","21.02933","105.8621","170.8","5",,"Active","5137","4/24/2021 7:05","fergal hourigan","11/19/2021 9:06","fergal hourigan"
"Đại Hiệp Industrial Zone","15.9130297","108.1045029","Southeast Asia","Vietnam","Export Processing Zone",,"Public","Ky Ha Investment and Development Company","Decree No.82/2018/ND-CP on Management of Industrial Parks and Economic Zones, Decree No 218/2013/ND-CP ","Da Nang International Airport","17.7","16.0438995","108.1989975","Hanoi","617.7","21.0333","105.85","Red Beach","19.5",,"http://ipvn.vn/dai-hiep-industrial-park-pd122772.html?lang=en","Quang Hà","22.6","16.07063","108.1847","40","4",,"Active","5138","4/24/2021 7:05","fergal hourigan","11/19/2021 9:06","fergal hourigan"
